Sequence number,Code,Time of departure/entry,Departure aerodrome,Arrival aerodrome,Flight identification,Main Exemption code,Type of aircraft,Operator,Aircraft Registration,Comment1,Flight date,IFPLID,Planned_aerodrome,Charging_zone_overflow,Entry_point,Exit_point,Sup_exemption_code,Source of the Aircraft Address,24-bit Aircraft Address,Comment2,case7,case8,case9,case10,case13,case15,case16,case18,ccrArrival,front_alg_fr,premier_plot_fr,modes_fr,Type_Avion_Survol
10386,F,610,LFSB,LPPR,EZS47AP  ,Z,A320   ,Z  ,HBJXN    ,,240321,AA57076953,,,,,,,4B1A27,,EZS47AP,IS ,A320/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFSB0610 ,N0424F330 MOROK T14 GILIR DCT TUROM DCT NINTU UN869 MEBAK/N0434F370 UN869 REPSI DCT LERGA DCT MINSO DCT NARAK DCT AGN DCT LATEK DCT PPN/N0435F390 DCT MIRPO DCT DGO DCT NEA DCT ZMR DCT ADORO DCT INKIT ,LPPR0201 LEST ,"CODE/4B1A27 DAT/V DOF/240321 EET/LSAS0004 LFEE0005 LFFF0008 LECM0109 LPPC0145 NAV/RNP2 OPR/EZS ORGN/EDDFEZYX PER/C REG/HBJXN RMK/TCAS PAX FLT RVR/075 SEL/AJBS)
",BALE,False,609.0,4B1A27,A320
10394,F,1712,LFMN,LSGG,EZS52WN  ,Z,A320   ,Z  ,HBJXM    ,,240321,AA57088574,,,,,,,4B1A26,,EZS52WN,IS ,A320/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFMN1635 ,N0379F240 IRMAR DCT KINES ,LSGG0037 LFLL ,"CODE/4B1A26 DAT/V DOF/240321 EET/LFFF0010 LIMM0019 LFFF0021 LFMM0030 LSAS0035 LFMM0036 LSAS0036 IFP/MODESASP NAV/RNP2 OPR/EZS ORGN/EDDFEZYX PER/C REG/HBJXM RMK/TCAS PAX FLT RVR/075 SEL/LRGH)
",NICE,False,1712.0,4B1A26,A320
10398,F,536,LFSB,LEMD,EZS58GL  ,Z,A320   ,Z  ,HBJXS    ,,240321,AA57075427,,,,,,,4B1A2C,,EZS58GL,IS ,A320/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFSB0530 ,N0414F330 MOROK T14 GILIR DCT TUROM DCT NINTU/N0432F370 UN869 MEBAK/N0433F390 UN869 REPSI DCT LERGA DCT MINSO DCT NARAK DCT AGN DCT MAQAB DCT TIVLI N869 ZAR Z245 TERSA ,LEMD0141 LEVC ,"CODE/4B1A2C DAT/V DOF/240321 EET/LSAS0004 LFEE0005 LFFF0007 LECM0108 NAV/RNP2 OPR/EZS ORGN/EDDFEZYX PER/C REG/HBJXS RMK/TCAS PAX FLT RVR/075 SEL/BHGK)
",BALE,False,536.0,4B1A2C,A320
10403,F,1301,LFSB,LIBR,EZS63NZ  ,Z,A320   ,Z  ,HBJXN    ,,240321,AA57087815,,,,,,,4B1A27,,EZS63NZ,IS ,A320/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFSB1250 ,N0433F370 ELBEG Y715 AMRUP N491 DEGES N871 MADEB N606 ELMEM DCT DIRAB DCT VESAL DCT PEVAL DCT AIOSA L862 ENOXA ,LIBR0131 LIBD ,"CODE/4B1A27 DAT/V DOF/240321 EET/EDGG0004 LSAS0009 LOVV0017 LIMM0027 LDZO0042 LIBB0117 IFP/MODESASP NAV/RNP2 OPR/EZS ORGN/EDDFEZYX PER/C REG/HBJXN RMK/TCAS PAX FLT RVR/075 SEL/AJBS)
",BALE,False,1301.0,4B1A27,A320
10406,F,615,LFSB,BKPR,EZS67GM  ,Z,A20N   ,Z  ,HBAYE    ,,240321,AA57076315,,,,,,,4B0274,,EZS67GM,IS ,A20N/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFSB0610 ,N0373F250 OLBEN Z50 URIGI/N0435F370 Z50 RESIA DCT PEVAL DCT TAZ DCT RINAV DCT ARBER ,BKPR0132 LWSK ,"CODE/4B0274 DAT/V DOF/240321 EET/LSAS0001 LIMM0020 LDZO0038 LQSB0108 LDZO0109 LYBA0114 LAAA0120 LYBA0129 NAV/RNP2 OPR/EZS ORGN/EDDFEZYX PER/C REG/HBAYE RMK/TCAS PAX FLT RVR/075 SEL/DPES)
",BALE,False,614.0,4B0274,A20N
10409,F,2006,LFPO,LSGG,EZS68RQ  ,Z,A320   ,Z  ,HBJXA    ,,240321,AA57091958,,,,,,,4B1A1A,,EZS68RQ,IS ,A320/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFPO1945 ,N0353F230 PILUL DCT PIMUP DCT PIXIS DCT PIBAT DCT LUSAR ,LSGG0043 LFLL ,"CODE/4B1A1A DAT/V DOF/240321 EET/LFEE0036 LFMM0038 LSAS0040 IFP/MODESASP NAV/RNP2 OPR/EZS ORGN/EDDFEZYX PER/C REG/HBJXA RMK/TCAS PAX FLT RVR/075 SEL/MQCK)
",ORL,False,2005.0,4B1A1A,A320
10410,F,955,LFSB,LICJ,EZS69NG  ,Z,A320   ,Z  ,HBJXL    ,,240321,AA57083475,,,,,,,4B1A25,,EZS69NG,IS ,A320/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFSB0946 ,N0396F290 ELBEG Y715 AMRUP N491 TRA N850 RIPUS/N0408F310 N850 ODINA/N0430F370 DCT BOTAL DCT SPEZI/N0429F370 DCT EVROG DCT TINTO/N0366F230 DCT GIANO ,LICJ0139 LICC ,"CODE/4B1A25 DAT/V DOF/240321 EET/EDGG0005 LSAS0009 LIMM0023 LIRR0047 IFP/MODESASP NAV/RNP2 OPR/EZS ORGN/EDDFEZYX PER/C REG/HBJXL RMK/TCAS PAX FLT RVR/075 SEL/AKEQ)
",BALE,False,954.0,4B1A25,A320
10413,F,1852,LFSB,EDDH,EZS72BQ  ,Z,A320   ,Z  ,HBJXR    ,,240321,AA57090380,,,,,,,4B1A2B,,EZS72BQ,IS ,A320/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFSB1833 ,N0383F240 ELBEG Y715 TITIX/N0395F260 Y715 HEUSE/N0410F280 N851 LOKTA/N0431F320 N851 ESULI/N0438F380 N851 TEDGO DCT HAREM DCT LOHRE DCT MASEK DCT ELNAT P605 NOLGO NOLGO2P ,EDDH0117 EDDV ,"CODE/4B1A2B DAT/V DOF/240321 EET/EDGG0004 EDUU0010 EDVV0048 EDWW0102 NAV/RNP2 OPR/EZS ORGN/EDDFEZYX PER/C REG/HBJXR RMK/TCAS PAX FLT RVR/075 SEL/DPBJ)
",BALE,False,1852.0,4B1A2B,A320
10416,F,929,LFSB,LIRF,EZS74KL  ,Z,A320   ,Z  ,HBJYA    ,,240321,AA57082340,,,,,,,4B1A34,,EZS74KL,IS ,A320/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFSB0925 ,N0426F370 ELBEG Y715 AMRUP N491 TRA N850 GERSA Z50 RESIA DCT PELEG DCT DIPVO DCT NIKMA T369 RITEB ,LIRF0111 LIRA ,"CODE/4B1A34 DAT/V DOF/240321 EET/EDGG0004 LSAS0009 LIMM0025 LIRR0049 IFP/MODESASP NAV/RNP2 OPR/EZS ORGN/EDDFEZYX PER/C REG/HBJYA RMK/TCAS PAX FLT RVR/075 SEL/DJFH)
",BALE,False,930.0,4B1A34,A320
10423,F,1212,LFSB,GCLP,EZS82HY  ,Z,A20N   ,Z  ,HBAYE    ,,240321,AA57086059,,,,,,,4B0274,,EZS82HY,IS ,A20N/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFSB1215 ,N0419F330 MOROK T14 GILIR DCT TUROM DCT NINTU UN869 MEBAK/N0441F390 UN869 REPSI DCT LERGA DCT MINSO DCT NARAK DCT AGN DCT LATEK DCT PPN DCT MIRPO DCT DGO DCT NEA DCT ZMR DCT ARDID DCT MAGUM DCT ESP DCT LIGRA DCT BEXAL DCT SAMAR ,GCLP0341 GCFV ,"CODE/4B0274 DAT/V DOF/240321 EET/LSAS0004 LFEE0005 LFFF0007 LECM0103 LPPC0144 GMMM0230 GCCC0314 NAV/RNP2 OPR/EZS ORGN/EDDFEZYX PER/C REG/HBAYE RMK
",BALE,False,1213.0,4B0274,A20N
10425,F,1532,LFSB,LEMD,EZS82YM  ,Z,A320   ,Z  ,HBJXL    ,,240321,AA57093654,,,,,,,4B1A25,,EZS82YM,IS ,A320/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFSB1505 ,N0415F330 MOROK T14 GILIR DCT TUROM DCT NINTU UN869 MEBAK/N0426F370 UN869 REPSI DCT LERGA DCT MINSO DCT NARAK DCT AGN DCT MAQAB DCT TIVLI N869 ZAR Z245 TERSA ,LEMD0133 LEZG LEVC ,"CODE/4B1A25 DAT/V DOF/240321 EET/LSAS0004 LFEE0005 LFFF0008 LECM0101 NAV/RNP2 OPR/EZS ORGN/EDDFEZYX PER/C REG/HBJXL RMK/TCAS PAX FLT RVR/075 SEL/AKEQ)
",BALE,False,1532.0,4B1A25,A320
10429,F,859,LFBD,LSGG,EZS86QH  ,Z,A320   ,Z  ,HBJZR    ,,240321,AA57078529,,,,,,,4B1A5F,,EZS86QH,IS ,A320/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFBD0826 ,N0381F290 SAU DCT SECHE DCT NARAK/N0385F300 DCT DITEV DCT MEN DCT NINUN UN871 LTP UZ116 BELUS ,LSGG0057 LSZH ,"CODE/4B1A5F DAT/V DOF/240321 EET/LFFF0007 LFMM0048 LSAS0052 LFMM0056 LSAS0056 IFP/MODESASP NAV/RNP2 OPR/EZS ORGN/EDDFEZYX PER/C REG/HBJZR RMK/TCAS PAX FLT RVR/075 SEL/EHFK TALT/LFMT)
",MERI,False,859.0,4B1A5F,A320
10431,F,634,LFSB,GCRR,EZS87KU  ,Z,A20N   ,Z  ,HBAYQ    ,,240321,AA57079478,,,,,,,4B0280,,EZS87KU,IS ,A20N/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFSB0630 ,N0379F230 MOROK T14 GILIR DCT TUROM/N0431F330 DCT NINTU UN869 REPSI DCT LERGA/N0439F390 DCT MINSO DCT NARAK DCT AGN DCT MAQAB DCT TIVLI N869 ZAR Z245 CJN DCT VTB DCT INPAN DCT CRISA DCT HIJ DCT SVL DCT CLANA DCT KORNO UN857 TOVRA/N0447F370 UN857 VEDOD/N0389F310 UN857 TERTO ,GCRR0340 GCFV ,"CODE/4B0280 DAT/V DOF/240321 EET/LSAS0004 LFEE0005 LFFF0007 LECM0108 GMMM0224 GCCC0324 NAV/RNP2 OPR/
",BALE,False,635.0,4B0280,A20N
10433,F,1618,LFSG,LSGG,EZS9091  ,Z,A320   ,Z  ,HBJZY    ,,240321,AA57091029,,,,,,,4B1A66,,EZS9091,IX ,A320/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFSG1400 ,N0294F190 DCT EPL G21 KASON B37 DJL ,LSGG0035 LFLL ,"CODE/4B1A66 DAT/V DOF/240321 EET/LFMM0029 LSAS0031 IFP/MODESASP NAV/RNP2 OPR/EZS ORGN/EDDFEZYX PER/C REG/HBJZY RMK/TCAS PAX FLT RVR/075 SEL/DJAB)
",STBG,False,1623.0,4B1A66,A320
10435,F,1125,LFSB,GCTS,EZS90QN  ,Z,A20N   ,Z  ,HBAYM    ,,240321,AA57084852,,,,,,,4B027C,,EZS90QN,IS ,A20N/M,SDE2E3FGHIJ1RWXYZ/LB1G1 ,LFSB1120 ,N0424F330 MOROK T14 GILIR DCT TUROM DCT NINTU UN869 MEBAK/N0439F370 UN869 REPSI DCT LERGA DCT MINSO DCT NARAK DCT AGN DCT MAQAB DCT TIVLI/N0441F390 N869 ZAR DCT KONKE DCT TERSA DCT CJN DCT VTB DCT INPAN DCT CRISA DCT HIJ DCT SVL DCT CLANA DCT KORNO UN857 TERTO ,GCTS0400 GCFV ,"CODE/4B027C DAT/V DOF/240321 EET/LSAS0004 LFEE0005 LFFF0007 LECM0103 GMMM0218 GCCC0319 NAV/RNP2 OPR/EZS ORGN/ED
",BALE,False,1126.0,4B027C,A20N
10436,F,542,LFSB,EHAM,EZS91BZ  ,Z,A320   ,Z  ,HBJXL    ,,240321,AA57075579,,,,,,,4B1A25,,EZS91BZ,IS ,A320/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFSB0545 ,N0405F320 TORPA DCT EDOPI DCT GIVOR DCT SORAL DCT IBERA N853 DIK M624 RITAX/N0391F280 M624 REMBA/N0361F220 M624 BUB Y28 HELEN ,EHAM0109 EBBR ,"CODE/4B1A25 DAT/V DOF/240321 EET/LSAS0004 LFEE0005 LFFF0007 EBUR0027 EHAA0052 IFP/MODESASP NAV/RNP2 OPR/EZS ORGN/EDDFEZYX PER/C REG/HBJXL RMK/TCAS PAX FLT RVR/075 SEL/AKEQ)
",BALE,False,544.0,4B1A25,A320
10441,F,1142,LFRS,LSGG,EZS93KM  ,Z,A320   ,Z  ,HBJXB    ,,240321,AA57088913,,,,,,,4B1A1B,,EZS93KM,IS ,A320/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFRS1135 ,N0385F250 LUGEN UM184 TUPAR/N0427F330 DCT DIDRU DCT BEBIX/N0430F340 DCT VALKU/N0429F350 DCT TIS UP860 RUBLO UZ87 BELUS ,LSGG0102 LFLS ,"CODE/4B1A1B DAT/V DOF/240321 EET/LFFF0008 LFMM0053 LSAS0057 LFMM0101 LSAS0101 IFP/MODESASP NAV/RNP2 OPR/EZS ORGN/EDDFEZYX PER/C REG/HBJXB RMK/TCAS PAX FLT RVR/075 SEL/JPGQ)
",NANT,False,1145.0,4B1A1B,A320
10442,F,1425,LFSB,GMMX,EZS94BK  ,Z,A320   ,Z  ,HBJXE    ,,240321,AA57093953,,,,,,,4B1A1E,,EZS94BK,IS ,A320/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFSB1420 ,N0421F330 MOROK T14 GILIR DCT TUROM DCT NINTU UN869 MEBAK/N0429F370 UN869 REPSI DCT LERGA DCT MINSO DCT NARAK DCT AGN DCT MAQAB/N0433F390 DCT TIVLI N869 GALTO UN869 SLK UZ801 VALBA UG850 OBOGA ,GMMX0253 GMMN ,"CODE/4B1A1E DAT/V DOF/240321 EET/LSAS0004 LFEE0005 LFFF0008 LECM0101 GMMM0209 NAV/RNP2 OPR/EZS ORGN/EDDFEZYX PER/C REG/HBJXE RMK/TCAS PAX FLT RVR/075 SEL/GJCH)
",BALE,False,1426.0,4B1A1E,A320
10443,F,1132,LFSB,LEMG,EZS95EG  ,Z,A320   ,Z  ,HBJXS    ,,240321,AA57088995,,,,,,,4B1A2C,,EZS95EG,IS ,A320/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFSB1150 ,N0420F330 MOROK T14 GILIR DCT TUROM DCT NINTU UN869 MEBAK/N0435F390 UN869 REPSI DCT LERGA DCT MINSO DCT NARAK DCT AGN DCT MAQAB DCT TIVLI N869 BLN ,LEMG0213 LEGR ,"CODE/4B1A2C DAT/V DOF/240321 EET/LSAS0004 LFEE0005 LFFF0008 LECM0103 NAV/RNP2 OPR/EZS ORGN/EDDFEZYX PER/C REG/HBJXS RMK/TCAS PAX FLT RVR/075 SEL/BHGK)
",BALE,False,1134.0,4B1A2C,A320
10446,F,514,LFSB,EDDB,EZS96RP  ,Z,A320   ,Z  ,HBJYA    ,,240321,AA57074929,,,,,,,4B1A34,,EZS96RP,IS ,A320/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFSB0510 ,N0354F240 ELBEG Y715 TITIX/N0366F260 Y715 HEUSE/N0424F360 N851 TEDGO DCT TIKNI/N0427F370 T279 TAMEB T278 KLF DCT ,EDDB0109 EDDC ,"CODE/4B1A34 DAT/V DOF/240321 EET/EDGG0004 EDUU0010 EDWW0054 IFP/MODESASP NAV/RNP2 OPR/EZS ORGN/EDDFEZYX PER/C REG/HBJYA RMK/TCAS PAX FLT RVR/075 SEL/DJFH)
",BALE,False,515.0,4B1A34,A320
10455,F,949,LFPG,EGGD,EZY12WD  ,Z,A320   ,Z  ,GEZPB    ,,240321,AA57079818,,,,,,,406FD8,,EZY12WD,IS ,A320/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFPG0935 ,N0401F320 OPALE UT421 KUNAV T421 ICTAM ,EGGD0048 EGBB ,"CODE/406FD8 DAT/V DOF/240321 EET/EGTT0020 NAV/RNP2 OPR/EZY ORGN/EDDFEZYX PER/C REG/GEZPB RMK/TCAS PAX FLT RVR/075 SEL/BHGS)
",CDG,False,949.0,406FD8,A320
10469,F,2128,LFSB,EGKK,EZY18EA  ,Z,A20N   ,Z  ,GUZLV    ,,240321,AA57093267,,,,,,,408052,,EZY18EA,IS ,A20N/M,SDE2E3FGHIJ1RWXYZ/LB1G1 ,LFSB2035 ,N0382F300 TORPA T10 ROBIR/N0436F380 DCT REKLA DCT RLP UL613 DIDOR UT10 IRBAL UT421 KUNAV ,EGKK0059 EGGW ,"CODE/408052 DAT/V DOF/240321 EET/LSAS0004 LFEE0005 LFFF0006 EGTT0051 NAV/RNP2 OPR/EZY ORGN/EDDFEZYX PER/C REG/GUZLV RMK/TCAS PAX FLT RVR/075 SEL/DECM)
",BALE,False,2128.0,408052,A20N
10480,F,904,LFPG,EGKK,EZY21MJ  ,Z,A320   ,Z  ,GEZTY    ,,240321,AA57079222,,,,,,,40643B,,EZY21MJ,IS ,A320/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFPG0850 ,N0353F240 OPALE UT421 KUNAV ,EGKK0030 EGSS ,"CODE/40643B DAT/V DOF/240321 EET/EGTT0021 NAV/RNP2 OPR/EZY ORGN/EDDFEZYX PER/C REG/GEZTY RMK/TCAS PAX FLT RVR/075 SEL/EGJR)
",CDG,False,904.0,40643B,A320
10484,F,1021,LFPO,EGCC,EZY23ED  ,Z,A320   ,Z  ,GEZRZ    ,,240321,AA57083161,,,,,,,407575,,EZY23ED,IS ,A320/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFPO1005 ,N0432F380 ATREX UT225 VESAN UL613 SOVAT L613 SANDY UN57 WELIN T420 ELVOS ,EGCC0105 EGGP ,"CODE/407575 DAT/V DOF/240321 EET/EGTT0029 NAV/RNP2 OPR/EZY ORGN/EDDFEZYX PER/C REG/GEZRZ RMK/TCAS PAX FLT RVR/075 SEL/HPDR)
",ORL,False,1020.0,407575,A320
10489,F,1434,LFRS,LPFR,EZY2453  ,Z,A319   ,Z  ,GEZDR    ,,240321,AA57101693,,,,,,,405B6A,,EZY2453,IS ,A319/M,SDE2E3FGIJ1RWXYZ/LB1 ,LFRS1347 ,N0428F390 ERIGA DCT FUJTI DCT PEPET DCT BAKUP DCT BATAX DCT PINOX DCT PORLI DCT GENRO ,LPFR0138 LPPT ,"CODE/405B6A DAT/V DOF/240321 EET/LFFF0007 LECM0030 LPPC0055 LECM0100 LPPC0102 LECM0112 LPPC0115 NAV/RNP 2 OPR/EZY ORGN/EDDFEZYX PER/C REG/GEZDR RMK/TCAS PAX FLT RVR/075 SEL/FKAP)
",NANT,False,1436.0,405B6A,A319
10513,F,2048,LFPG,EGGD,EZY28FR  ,Z,A319   ,Z  ,GEZGK    ,,240321,AA57093122,,,,,,,40653A,,EZY28FR,IS ,A319/M,SDE2E3FGIJ1RWXYZ/LB1 ,LFPG2030 ,N0396F300 OPALE UT421 KUNAV T421 ICTAM ,EGGD0048 EGBB ,"CODE/40653A DAT/V DOF/240321 EET/EGTT0019 NAV/RNP 2 OPR/EZY ORGN/EDDFEZYX PER/C REG/GEZGK RMK/TCAS PAX FLT RVR/075 SEL/CJAS)
",CDG,False,2048.0,40653A,A319
10542,F,2106,LFBO,EGKK,EZY36MF  ,Z,A320   ,Z  ,GEZOX    ,,240321,AA57100134,,,,,,,406E69,,EZY36MF,IS ,A320/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFBO2105 ,N0422F360 LACOU DCT CHALA DCT CNA DCT MANAK UY110 UPALO/N0414F340 UY110 REVTU UP88 VASUX ,EGKK0126 EGGW ,"CODE/406E69 DAT/V DOF/240321 EET/LFFF0007 EGTT0102 NAV/RNP2 OPR/EZY ORGN/EDDFEZYX PER/C REG/GEZOX RMK/TCAS PAX FLT RVR/075 SEL/LMGP)
",TOUL,False,2107.0,406E69,A320
10548,F,2023,LFPG,EGKK,EZY37DK  ,Z,A320   ,Z  ,GEZTY    ,,240321,AA57092061,,,,,,,40643B,,EZY37DK,IS ,A320/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFPG1951 ,N0375F240 OPALE UT421 KUNAV ,EGKK0028 EGGW ,"CODE/40643B DAT/V DOF/240321 EET/EGTT0020 NAV/RNP2 OPR/EZY ORGN/EDDFEZYX PER/C REG/GEZTY RMK/TCAS PAX FLT RVR/075 SEL/EGJR)
",CDG,False,2023.0,40643B,A320
10562,F,2047,LFMN,EGKK,EZY39UQ  ,Z,A320   ,Z  ,GEZGX    ,,240321,AA57092577,,,,,,,40756E,,EZY39UQ,IS ,A320/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFMN2010 ,N0433F380 BADOD UZ12 BULOL UM733 IDAVO DCT BAGBI DCT SIZZA UM733 KOPOR/N0420F340 UM733 PIREG UT421 KUNAV ,EGKK0125 EGGW ,"CODE/40756E DAT/V DOF/240321 EET/LFFF0007 EGTT0117 NAV/RNP2 OPR/EZY ORGN/EDDFEZYX PER/C REG/GEZGX RMK/TCAS PAX FLT RVR/075 SEL/GMBJ)
",NICE,False,2016.0,40756E,A320
10565,F,906,LFPG,EGGW,EZY40LR  ,Z,A20N   ,Z  ,GUZHV    ,,240321,AA57079233,,,,,,,40768A,,EZY40LR,IS ,A20N/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFPG0855 ,N0351F240 OPALE UT421 KUNAV/N0344F240 Y8 BANVA/N0352F240 M733 UNDUG ,EGGW0101 EGSS ,"CODE/40768A DAT/V DOF/240321 EET/EGTT0021 NAV/RNP2 OPR/EZY ORGN/EDDFEZYX PER/C REG/GUZHV RMK/TCAS PAX FLT RVR/075 SEL/GHLR)
",CDG,False,906.0,40768A,A20N
10578,F,1343,LFPG,EGPF,EZY43WM  ,Z,A319   ,Z  ,GEZDL    ,,240321,AA57087880,,,,,,,405B65,,EZY43WM,IS ,A319/M,SDE2E3FGIJ1RWXYZ/LB1 ,LFPG1325 ,N0430F380 ATREX UT225 VESAN UL613 SOVAT L613 HALIF UN590 APPLE ,EGPF0121 EGPK ,"CODE/405B65 DAT/V DOF/240321 EET/EGTT0021 EGPX0107 NAV/RNP 2 OPR/EZY ORGN/EDDFEZYX PER/C REG/GEZDL RMK/TCAS PAX FLT RVR/075 SEL/DRBQ)
",CDG,False,1343.0,405B65,A319
10591,F,1731,LFPG,EGKK,EZY47GB  ,Z,A320   ,Z  ,GEJCJ    ,,240321,AA57088619,,,,,,,407F67,,EZY47GB,IS ,A320/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFPG1650 ,N0369F240 OPALE UT421 KUNAV ,EGKK0028 EGSS ,"CODE/407F67 DAT/V DOF/240321 EET/EGTT0020 NAV/RNP2 OPR/EZY ORGN/EDDFEZYX PER/C REG/GEJCJ RMK/TCAS PAX FLT RVR/075 SEL/ESFR)
",CDG,False,1731.0,407F67,A320
10600,F,2052,LFPG,EGAA,EZY48ZL  ,Z,A20N   ,Z  ,GUZLT    ,,240321,AA57092658,,,,,,,408011,,EZY48ZL,IS ,A20N/M,SDE2E3FGHIJ1RWXYZ/LB1G1 ,LFPG2010 ,N0438F380 ATREX UT225 VESAN UL613 SOVAT DCT LESTA UP6 RODOL UM65 TENSO/N0440F360 L603 BELOX DCT REMSI DCT UVPOK M147 ROBOP M146 IPSET P6 BELZU DCT ,EGAA0119 EIDW ,"CODE/408011 DAT/V DOF/240321 EET/EGTT0020 EGPX0115 NAV/RNP2 OPR/EZY ORGN/EDDFEZYX PER/C REG/GUZLT RMK/TCAS PAX FLT IRIS PCF RVR/075 SEL/KPQS)
",CDG,False,2052.0,408011,A20N
10608,F,2109,LFPG,EGCC,EZY50LD  ,Z,A20N   ,Z  ,GUZHZ    ,,240321,AA57092573,,,,,,,40772F,,EZY50LD,IS ,A20N/M,SDE2E3FGIJ1RWXYZ/LB1G1 ,LFPG2014 ,N0432F360 ATREX UT225 VESAN UL613 SOVAT L613 SANDY UN57 WELIN T420 ELVOS ,EGCC0058 EGGP ,"CODE/40772F DAT/V DOF/240321 EET/EGTT0021 NAV/RNP2 OPR/EZY ORGN/EDDFEZYX PER/C REG/GUZHZ RMK/TCAS PAX FLT RVR/075 SEL/LQMP)
",CDG,False,2109.0,40772F,A20N
10609,F,1112,LFMT,EGKK,EZY50MQ  ,Z,A319   ,Z  ,GEZGI    ,,240321,AA57082198,,,,,,,406446,,EZY50MQ,IS ,A319/M,SDE2E3FGIJ1RWXYZ/LB1 ,LFMT0920 ,N0431F380 NG DCT MOLEN DCT MTL UM976 MOPEM DCT CACHI DCT AVLON UM976 BRY UM733 KOPOR/N0425F360 UM733 PIREG UT421 KUNAV ,EGKK0121 EGSS ,"CODE/406446 DAT/V DOF/240321 EET/LFFF0007 EGTT0113 NAV/RNP 2 OPR/EZY ORGN/EDDFEZYX PER/C REG/GEZGI RMK/TCAS PAX FLT RVR/075 SEL/MPJS)
",MONT,False,1108.0,406446,A319
10616,F,1621,LFPG,EGKK,EZY52GT  ,Z,A21N   ,Z  ,GUZMB    ,,240321,AA57088000,,,,,,,4075E0,,EZY52GT,IS ,A21N/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFPG1545 ,N0367F240 OPALE UT421 KUNAV ,EGKK0028 EGSS ,"CODE/4075E0 DAT/V DOF/240321 EET/EGTT0021 NAV/RNP2 OPR/EZY ORGN/EDDFEZYX PER/C REG/GUZMB RMK/TCAS PAX FLT RVR/075 SEL/MQAK)
",CDG,False,1620.0,4075E0,A21N
10637,F,856,LFLL,EGGW,EZY57UP  ,Z,A20N   ,Z  ,GUZHL    ,,240321,AA57080608,,,,,,,40756B,,EZY57UP,IS ,A20N/M,SDE2E3FGHIJ1RWXYZ/LB1 ,LFLL0845 ,N0427F380 BUSIL DCT AMORO DCT MOMIL DCT BAGBI DCT SIZZA UM733 SOSUN/N0393F340 UM733 SUBIP/N0384F320 UM733 BANVA/N0377F300 UM733 UNDUG ,EGGW0133 EGSS ,"CODE/40756B DAT/V DOF/240321 EET/LFFF0005 EGTT0054 NAV/RNP2 OPR/EZY ORGN/EDDFEZYX PER/C REG/GUZHL RMK/TCAS PAX FLT RVR/075 SEL/FKDH)
",LYON,False,856.0,40756B,A20N
10639,F,1604,LFMN,EGKK,EZY58FG  ,Z,A319   ,Z  ,GEZGR    ,,240321,AA57087881,,,,,,,406540,,EZY58FG,IS ,A319/M,SDE2E3FGIJ1RWXYZ/LB1 ,LFMN1525 ,N0434F380 BADOD UZ12 BULOL UM733 IDAVO DCT BAGBI DCT SIZZA UM733 KOPOR/N0427F360 UM733 PIREG/N0418F340 UT421 KUNAV ,EGKK0127 EGSS ,"CODE/406540 DAT/V DOF/240321 EET/LFFF0007 EGTT0119 NAV/RNP 2 OPR/EZY ORGN/EDDFEZYX PER/C REG/GEZGR RMK/TCAS PAX FLT RVR/075 SEL/CSAM)
",NICE,False,1531.0,406540,A319
