Sequence number,Code,Time of departure/entry,Departure aerodrome,Arrival aerodrome,Flight identification,Main Exemption code,Type of aircraft,Operator,Aircraft Registration,Comment1,Flight date,IFPLID,Planned_aerodrome,Charging_zone_overflow,Entry_point,Exit_point,Sup_exemption_code,Source of the Aircraft Address,24-bit Aircraft Address,Comment2,case7,case8,case9,case10,case13,case15,case16,case18,ccrArrival,front_alg_fr,premier_plot_fr,modes_fr,Type_Avion_Survol
4244,F,1237,LFBO,EHAM,KLM82R   ,Z,E190   ,Z  ,PHEZB    ,,240320,AA57062982,,,,,,,484ACC,,KLM82R,IS ,E190/M,SDE2E3FGIJ1RWY/HB1 ,LFBO1230 ,N0419F360 FISTO DCT PERIG DCT ADABI DCT BOKNO UN858 VANAD UN874 VEKIN UN873 ADUTO N873 FERDI Y18 DENUT ,EHAM0130 EHRD ,"CODE/484ACC DOF/240320 EET/LFFF0007 EBUR0103 EHAA0110 IFP/MODESASP OPR/KLC ORGN/EHAMKLMF PER/C REG/PHEZB RMK/TCAS RVR/175)
",TOUL,False,1243.0,484C1B,E190
4246,F,513,LFSB,EHAM,KLM84X   ,Z,E75L   ,Z  ,PHEXT    ,,240320,AA57060550,,,,,,,485814,,KLM84X,IS ,E75L/M,SDE2E3FGIJ1RWY/LB1 ,LFSB0505 ,N0413F380 TORPA DCT EDOPI DCT GIVOR DCT SORAL DCT IBERA DCT RITAX M624 BUB/N0339F230 Y28 HELEN ,EHAM0111 EHRD ,"CODE/485814 DOF/240320 EET/LSAS0004 LFEE0005 LFFF0006 EBUR0026 EHAA0049 IFP/MODESASP OPR/KLC ORGN/EHAMKLMF PER/C REG/PHEXT RMK/TCAS RVR/175 TALT/LFST)
",BALE,False,508.0,485778,E75L
4265,F,1711,LFOK,EHAM,KLM9884  ,Z,B789   ,Z  ,PHBHE    ,,240320,AA57076475,,,,,,,4851B0,,KLM9884,IX ,B789/H,SDE2E3GHIJ1J3J5P2RWXYZ/LB1D1 ,LFOK1715 ,N0310F180 DIKOL B3 VERMA/N0311F180 B3 CMB/N0315F200 UN874 VEKIN UN873 ADUTO N873 FERDI Y18 DENUT ,EHAM0054 EHRD ,"CODE/4851B0 DOF/240320 EET/EBUR0025 EBBU0034 EHAA0035 IFP/MODESASP NAV/RNP2 OPR/KLM ORGN/EHAMKLMF PER/D REG/PHBHE RMK/TCAS RVR/075 SEL/KMJP SUR/260B RSP180 CANMANDATE)
",SEIN,False,1155.0,48436C,B772
4267,F,2221,LFML,OEJN,KNE660   ,Z,A20N   ,Z  ,HZNS25   ,,240320,AA57074436,,,,,,,7105A5,,KNE660,IS ,A20N/M,SDFGHIJ1RWY/LB2 ,LFML2215 ,N0461F290 TINOT M731 BATIV DCT PELOS M731 TEKSA M732 CAR M871 LIBRO/N0450F330 DCT NOTRI/N0458F290 Q789 NIMAN T340 ARLOS UN4 SALUN N705 MMA L613 KIVIL N710 TAKRI P751 LXR M999 MUVOL ,OEJN0448 OEMA ,"CODE/7105A5 DOF/240320 EET/LIRR0029 LMMM0142 LGGG0214 HECC0224 OEJD0422 ORGN/OERKKNEO PER/C REG/HZNS25 SEL/JPEM SUR/260B)
",MARS,,nan,nan,
4270,F,1944,LFLB,LTFJ,KOC02    ,Z,FA8X   ,Z  ,TCSSA    ,,240320,AA57079574,,,,,,,4BCE61,,KOC02,IG ,FA8X/M,SBCDE2E3FGHIJ1J3J4J7P2RWXYZ/LB1D1 ,LFLB1945 ,N0478F410 ESAPI J41 VANAS DCT MEDAM DCT NITAM DCT MOGBO DCT NIKOL DCT NISVA DCT ADORU UM19 IBODU ,LTFJ0241 LTFM ,"CODE/4BCE61 DOF/240320 EET/LIMM0019 LDZO0054 LQSB0110 LYBA0121 LBSR0142 LTBB0203 NAV/SBAS OPR/SET AIR ORGN/EKBICPUF PER/C REG/TCSSA RMK/PRIVATE FLIGHT ASLLFLBDCMF050854 RVR/550 SEL/EKJS SUR/RSP180 260B)
",LYON,False,1151.0,4BCE61,FA8X
4271,F,1659,HKJK,EGLL,KQA100   ,Z,B788   ,Z  ,5YKZA    ,,240320,AA57063101,,,,,,,04C117,,KQA100,IS ,B788/H,SDE2E3FGHIJ1J2J4J5M1RWXY/LB2D1G1 ,HKJK0920 ,N0477F430 ANTU2D APKUB UQ293 EKMOG DCT NN UW325 SIPKI UT325 BUN UG862 DIR UB730 DJA UM2 CSO UM998 KAMER DCT NAFOQ DCT SURJU DCT PADKO UN854 ETREK UM976 MOPEM DCT CACHI DCT AVLON UM976 ABNUR UT10 ALESO ,EGLL0908 EGCC ,"CODE/04C117 DOF/240320 EET/HUEC0029 FZZA0058 FCCC0138 FZZA0141 FCCC0150 FTTT0217 DRRR0436 DAAA0451 LFFF0707 EGTT0843 OPR/KENYA AIRWAYS ORGN/NBOWWKQ RALT/HUEN FTTJ
",ALGR,False,1432.0,04C117,B788
4272,F,514,HKJK,EGLL,KQA102   ,Z,B788   ,Z  ,5YKZJ    ,,240320,AA57049487,,,,,,,04C15B,,KQA102,IS ,B788/H,SDE2E3FGHIJ1J2J4J5M1RWXY/LB2D1G1 ,HKJK2130 ,N0493F380 ANTU2D APKUB UQ293 EKMOG DCT NN UW325 SIPKI UT325 BUN UG862 DIR UB730 DJA UM2 CSO UM998 KAMER DCT NAFOQ DCT SURJU DCT PADKO UN854 ETREK UM976 MOPEM DCT CACHI DCT AVLON UM976 ABNUR UT10 ALESO ,EGLL0856 EGCC ,"CODE/04C15B DOF/240319 EET/HUEC0029 FZZA0057 FCCC0135 FZZA0137 FCCC0145 FTTT0212 DRRR0422 DAAA0436 LFFF0651 EGTT0831 OPR/KENYA AIRWAYS ORGN/NBOWWKQ RALT/HUEN FTTJ
",ALGR,True,652.0,04C118,B788
4274,F,1353,HKJK,LFPG,KQA112D  ,Z,B788   ,Z  ,5YKZH    ,,240320,AA57062420,,,,,,,04C15A,,KQA112D,IS ,B788/H,SDE2E3FGHIJ1J2J4J5M1RWXY/LB2D1G1 ,HKJK0600 ,N0494F380 ANTU2D APKUB UQ293 EKMOG DCT NN UW325 SIPKI UT325 BUN UG862 DIR UB730 DJA UM2 CSO UM998 KAMER DCT NAFOQ DCT SURJU DCT PADKO UN854 LOGNI DCT MOKIP DCT ARFOZ UN854 TINIL ,LFPG0838 EBBR ,"CODE/04C15A DOF/240320 EET/HUEC0029 FZZA0057 FCCC0136 FZZA0138 FCCC0146 FTTT0213 DRRR0426 DAAA0440 LFFF0655 IFP/MODESASP OPR/KENYA AIRWAYS ORGN/NBOWWKQ RALT/HUEN DNMM DGAA LIRF DAAG GMM
",ALGR,,nan,nan,
4275,F,1836,LFPG,HKJK,KQA115   ,Z,B788   ,Z  ,5YKZH    ,,240320,AA57074329,,,,,,,04C15A,,KQA115,IS ,B788/H,SDE2E3FGHIJ1J2J4J5M1RWXY/LB2D1G1 ,LFPG1820 ,N0473F390 LANVI DCT BEGAR DCT TRA DCT SUXAN DCT PEVAL DCT NAKIT DCT PUL DCT SPL DCT VAKSU DCT RODON DCT DIMIS UL604 SALUN N705 MMA L613 KIVIL N710 TAKRI P751 LXR M999 JDW G650 RASKA/N0486F380 UG650 ULONI/N0487F390 UG650 ASM/N0482F380 UG650 KONET UM308 GWZ/N0486F390 UM308 GETOL/N0484F380 UM308 LOTAS LOTA2P ,HKJK0802 HTKJ HKMO ,"CODE/04C15A DOF/240320 EET/EDUU0036 LSAS0040 LIMM005
",CDG,True,1831.0,04C15B,B788
4279,F,1253,LFPG,DTTJ,LBT509   ,Z,A320   ,Z  ,TSINU    ,,240320,AA57063690,,,,,,,02A1B4,,LBT509,IS ,A320/M,SDFGHIJ1LORVWY/LB1 ,LFPG1205 ,N0447F350 ERIXU DCT ETAMO DCT ADEKA DCT MOKDI DCT MEN DCT BADAM DCT FJR UM731 DIVKO UM154 JUSQO DCT FIRRA DCT NAFOQ DCT SALMA/N0446F350 UG6 DIMAO/N0445F350 UZ147 KIRAS A856 TINAP DCT ,DTTJ0223 DTMB ,"CODE/02A1B4 COM/CPDLC DOF/240320 EET/DAAA0136 DTTC0158 OPR/LBT ORGN/MIROOBJ PER/C REG/TSINU SEL/AJPQ)
",CDG,,nan,nan,
4281,F,1125,LFPG,DTTA,LBT511   ,Z,A320   ,Z  ,TSING    ,,240320,AA57061825,,,,,,,02A1A6,,LBT511,IS ,A320/M,SDFGIJ1LORVWY/LB1 ,LFPG1035 ,N0447F350 LATRA DCT LAMUT DCT UTUVA DCT TITVA DCT NOQAS/N0442F370 UM728 KOLON DCT LOKDU DCT PELOS DCT IPROM DCT KOVAS DCT CAR/N0428F290 P161 MEDAR DCT ,DTTA0155 DTNH ,"CODE/02A1A6 COM/CPDLC DOF/240320 EET/LIRR0120 DTTC0146 OPR/LBT ORGN/MIROOBJ PER/C REG/TSING SEL/HPAE TALT/LFPO)
",CDG,,nan,nan,
4283,F,1720,LFLL,DTMB,LBT573   ,Z,A320   ,Z  ,TSINQ    ,,240320,AA57070466,,,,,,,02A1B0,,LBT573,IS ,A320/M,SDFGHIJ1LORVWY/LB1 ,LFLL1705 ,N0442F370 ROMAM UT43 BEPER UM728 KOLON DCT LOKDU DCT PELOS DCT IPROM DCT PIRIX DCT OSMAR UA725 TUC A411 VAXAL UA411 MON DCT ,DTMB0129 DTNH ,"CODE/02A1B0 COM/CPDLC DOF/240320 EET/LFFF0008 LIRR0045 DTTC0109 OPR/LBT ORGN/MIROOBJ PER/C REG/TSINQ SEL/JMLQ)
",LYON,,nan,nan,
4285,F,830,LFMN,DTTA,LBT587   ,Z,A320   ,Z  ,TSINC    ,,240320,AA57060192,,,,,,,02A1A2,,LBT587,IS ,A320/M,SDFGHIJ1LORVWY/LB1 ,LFMN0820 ,N0424F290 LONSU DCT BEBEV DCT AJO DCT CORSI M733 MINKA/N0436F330 DCT CAR/N0419F290 P161 MEDAR DCT ,DTTA0100 DTNH ,"CODE/02A1A2 COM/CPDLC DOF/240320 EET/LFFF0008 LIRR0024 DTTC0051 OPR/LBT ORGN/MIROOBJ PER/C REG/TSINC SEL/KSEF)
",NICE,,nan,nan,
4286,F,1028,LFRJ,LFRJ,LCARC    ,Z,RFAL   ,Z  ,FNYNP    ,,240320,         ,,,,,,,      ,,LCARC,IM ,2RFAL/M,S/C ,LFRJ1000 ,M080F235 GAT MEN03 MET06 MET07 OAT ,LFRJ0145 ,"OPR/FNY NPL01RJ)
",PARI,,nan,nan,
4288,F,849,LFOB,LFAQ,LDG29    ,Z,DA42   ,Z  ,         ,,240320,AA57066770,,,,,,,      ,,nan,nan,nan,nan,nan,nan,nan,nan,LILE,,nan,nan,
4289,F,955,LFAQ,LFQT,LDG29    ,Z,DA42   ,Z  ,GCTCG    ,,240320,AA57066834,,,,,,,      ,,LDG29,IX ,DA42/L,SDGRY/S ,LFAQ0930 ,N0143F070 CMB ,LFQT0029 LFAT ,"DOF/240320 IFP/MODESASP OPR/LEADING EDGE AVIATION ORGN/KSTPXAAP REG/GCTCG RMK/CREW CONTACT +447811438588 REQUEST RNP APPROACH AT LFQT THEN ROUTING TO LFAT FILED VIA AUTOROUTER.AERO)
",LILE,,nan,nan,
4290,F,1048,LFQT,LFAT,LDG29    ,Z,DA42   ,Z  ,GCTCG    ,,240320,AA57066892,,,,,,,400D03,,LDG29,IX ,DA42/L,SDGRY/S ,LFQT1020 ,N0139F040 BNE ,LFAT0020 LFQT ,"DOF/240320 IFP/MODESASP OPR/LEADING EDGE AVIATION ORGN/KSTPXAAP REG/GCTCG RMK/CREW CONTACT +447811438588 REQUEST 1 RNP AND 1 ILS TO LAND AT LFAT FILED VIA AUTOROUTER.AERO)
",LILE,,nan,nan,
4291,F,1104,LFAT,LFAT,LDG29A   ,Z,DA42   ,Z  ,         ,,240320,         ,,,,,,,      ,,nan,nan,nan,nan,nan,nan,nan,nan,LILE,,nan,nan,
4293,F,1304,LFPB,LSMP,LDX344C  ,Z,E550   ,Z  ,OEHPL    ,,240320,AA57042339,,,,,,,440637,,LDX344C,IN ,E550/M,SBDFGHIJ1J3J4J7P2RWXYZ/LB1D1 ,LFPB1230 ,N0421F190 BAXIR A6 DJL A1 SPR Z64 MOLUS/N0278F080 N871 SOSAL Z61 FRI ,LSMP0046 LSGG ,"CODE/440637 DAT/1FANSER2PDC DOF/240320 EET/LFEE0019 LSAS0032 LFMM0035 LSAS0036 NAV/B4B3C3D3 OPR/LDX ORGN/KCGSXAAO REG/OEHPL RMK/HANDLED BY AAS LBG PPR PAYC3162 PHONE 0014102662266 RVR/550 SEL/GLKM SUR/260B RSP180 CANMANDATE)
",CDG,False,1753.0,440637,E550
4295,F,1454,LFPB,EGLL,LDX750   ,Z,GL7T   ,Z  ,OELDP    ,,240320,AA57043687,,,,,,,440C70,,LDX750,IG ,GL7T/M,SBCDE1E2E3FGHIJ1J3J4J7M3P2RWXYZ/LB2D1 ,LFPB1400 ,N0433F220 OPALE UT421 KESAX UT426 DIMAL UT10 ALESO ,EGLL0046 EGGW ,"CODE/440C70 DAT/1FANSER2PDC DOF/240320 NAV/RNP2 OPR/LDX ORGN/KCGSXAAO PER/C REG/OELDP RMK/LFPB EXCJ PHONE 0014102662266 RVR/125 SUR/260A RSP180 CANMANDATE)
",CDG,,nan,nan,
4331,F,850,LFPG,ELLX,LGL82P   ,Z,DH8D   ,Z  ,LXLGF    ,,240320,AA57040767,,,,,,,4D00C9,,LGL82P,IS ,DH8D/M,SDFGIRY/H ,LFPG0835 ,N0303F190 DIKOL J10 SUIPE M163 MMD ,ELLX0041 EBLG ,"DOF/240320 EET/EBBU0038 IFP/MODESASP OPR/LUXAIR ORGN/EKBICPUF REG/LXLGF RMK/OCC CONTACT NBR 00352 2456 5510 RVR/200)
",CDG,False,853.0,4D00D7,DH8D
4336,F,1159,LFPG,ELLX,LGL84P   ,Z,DH8D   ,Z  ,LXLGG    ,,240320,AA57044495,,,,,,,4D00CA,,LGL84P,IS ,DH8D/M,SDFGIRY/H ,LFPG1150 ,N0303F190 DIKOL J10 SUIPE M163 MMD ,ELLX0042 EBLG ,"DOF/240320 EET/EBBU0039 IFP/MODESASP OPR/LUXAIR ORGN/EKBICPUF REG/LXLGG RMK/OCC CONTACT NBR 00352 2456 5510 RVR/200)
",CDG,False,1211.0,4D00C9,DH8D
4337,F,1256,LFMN,ELLX,LGL86N   ,Z,DH8D   ,Z  ,LXLGF    ,,240320,AA57045227,,,,,,,4D00C9,,LGL86N,IS ,DH8D/M,SDFGIRY/H ,LFMN1245 ,N0320F240 IRMAR DCT KINES DCT VANAS DCT MOBLO DCT UBIMA DCT GILIR DCT PENDU DCT IXILU DCT EPL G21 GIVOR ,ELLX0125 EBLG ,"DOF/240320 EET/LIMM0024 LFMM0027 LSAS0043 LFEE0047 EBBU0119 EBBU0121 LFEE0121 IFP/MODESASP OPR/LUXAIR ORGN/EKBICPUF REG/LXLGF RMK/OCC CONTACT NBR 00352 2456 5510 RVR/200)
",NICE,False,1234.0,4D00D5,DH8D
4341,F,756,LFPB,EDDH,LMJ849R  ,Z,F2TH   ,Z  ,CSDTR    ,,240320,AA57058835,,,,,,,491292,,LMJ849R,IN ,F2TH/M,SDFGHIRWXYZ/HB1 ,LFPB0800 ,N0450F350 NURMO UN874 VEKIN UN873 ADUTO DCT VICOT DCT LARAS DCT PIPQU DCT AKZOM M105 OPJOT T907 MUBZI T903 RIBSO RIBSO2P ,EDDH0111 EDDV ,"COM/AGCS SATCOM +16514142319 OPS +351211397007 DAT/CPDLCX DOF/240320 EET/EBUR0018 EHAA0024 EDVV0046 EDWW0053 NAV/RNVD1E2A1 OPR/LMJ ORGN/EKODFFLX PER/C REG/CSDTR RMK/LFPB FBO EXECUJET K1 0033148359797 EDDH ASLEDDH1903246763 PIC TEL 33672261181 RVR/125 SEL/LRBS
",CDG,,nan,nan,
4343,F,1835,LFOH,LFPB,LMJ849R  ,Z,F2TH   ,Z  ,CSDTR    ,,240320,AA57059082,,,,,,,491292,,LMJ849R,IN ,F2TH/M,SDFGHIRWXYZ/HB1 ,LFOH1800 ,N0255F080 DVL DCT PESUK/N0257F090 J116 PEXIR ,LFPB0026 LFPG ,"COM/AGCS SATCOM +16514142319 OPS +351211397007 DAT/CPDLCX DOF/240320 IFP/MODESASP NAV/RNVD1E2A1 OPR/LMJ ORGN/EKODFFLX PER/C REG/CSDTR RMK/LFPB FBO EXECUJET K1 0033148359797 PIC TEL 33672261181 RVR/125 SEL/LRBS SUR/CANMANDATE)
",TAFF,,nan,nan,
4344,F,1745,LFPB,EGGW,LNX23JG  ,Z,E55P   ,Z  ,GJAGA    ,,240320,AA57050822,,,,,,,4068F0,,LNX23JG,IG ,E55P/M,SDGIJ1RWYZ/S ,LFPB1700 ,N0394F240 OPALE UT421 KUNAV Y8 BANVA M733 UNDUG ,EGGW0101 EGSS ,"CODE/4068F0 DOF/240320 EET/EGTT0023 NAV/GPSRNAV OPR/LNX ORGN/EKODFFLX PER/C REG/GJAGA RMK/OPS TEL 0040747122133, CALLSIGN LONEXE PIC TEL 447826866609 RVR/550 TALT/LFPO)
",CDG,,nan,nan,
4345,F,605,LFPG,EPWA,LOT334   ,Z,E190   ,Z  ,SPLMF    ,,240320,AA57046806,,,,,,,48AD85,,LOT334,IS ,E190/M,SDE2E3FGHIJ1RVWYZ/HB1 ,LFPG0605 ,N0423F350 RANUX UN858 LIMGO DCT MASEK DCT ROBEL DCT POZUM DCT ADVAB DCT OBOKU DCT DOSIX DCT BIMPA/N0369F190 ,EPWA0207 EPWR ,"CODE/48AD85 DOF/240320 EET/EBUR0026 EDUU0029 EPWW0116 IFP/MODESASP NAV/SBAS GPS OPR/LOT ORGN/WAWOFLO REG/SPLMF RMK/CONTACT +48226066688 SEL/RSAG TALT/EBBR)
",CDG,False,610.0,48AD02,E75S
4347,F,1910,LFPG,EPWA,LOT336   ,Z,B38M   ,Z  ,SPLVF    ,,240320,AA57071183,,,,,,,48AF05,,LOT336,IS ,B38M/M,SADE2E3FGHIJ1RWYZ/LB1 ,LFPG1845 ,N0448F350 RANUX UN858 LIMGO/N0445F370 DCT MASEK DCT ROBEL DCT POZUM DCT ADVAB DCT OBOKU DCT DOSIX DCT BIMPA/N0396F190 ,EPWA0155 EPKT ,"CODE/48AF05 DOF/240320 EET/EBUR0023 EDUU0026 EPWW0108 IFP/MODESASP NAV/GPS SBAS OPR/LOT ORGN/WAWOFLO REG/SPLVF RMK/CONTACT +48226066688 SEL/LMPS)
",CDG,False,1904.0,48AF0C,B38M
4351,F,1009,LFPG,EPWA,LOT3NE   ,Z,B738   ,Z  ,SPLWF    ,,240320,AA57051642,,,,,,,48AE85,,LOT3NE,IS ,B738/M,SDE2E3FGHIJ1RWY/LB1 ,LFPG0950 ,N0434F370 RANUX UN858 MEDOX/N0439F390 UN858 LIMGO DCT BITBU DCT NOSPA DCT MASEK DCT ROBEL/N0444F410 DCT POZUM DCT ADVAB DCT OBOKU DCT DOSIX P150 BIMPA/N0367F190 ,EPWA0201 EPKT ,"CODE/48AE85 DOF/240320 EET/EBUR0025 EDUU0029 EPWW0113 IFP/MODESASP OPR/LOT ORGN/WAWOFLO REG/SPLWF RMK/CONTACT +48226066688 SEL/MPAH TALT/LFPO)
",CDG,False,1013.0,48AE85,B738
4352,F,1835,LFMN,EPWA,LOT3PW   ,Z,E75S   ,Z  ,SPLIQ    ,,240320,AA57070863,,,,,,,48AD19,,LOT3PW,IS ,E75S/M,SDE2E3FGIJ1RVWYZ/HB1 ,LFMN1835 ,N0341F180 BASIP/N0341F180 Y15 ABN/N0411F360 M985 GEN DCT MALUG/N0422F350 DCT LEDVA DCT NETIR DCT KOTEK M866 LOGDA/N0349F190 ,EPWA0214 EPKT ,"CODE/48AD19 DOF/240320 EET/LIMM0007 LOVV0049 LKAA0119 EPWW0133 IFP/MODESASP NAV/GPS NAVSTAR OPR/LOT ORGN/WAWOFLO REG/SPLIQ RMK/CONTACT +48226066688)
",NICE,,nan,nan,
4359,F,1500,LFMQ,LSGG,LUC12    ,Z,PC12   ,Z  ,HBFZC    ,,240320,AA57069153,,,,,,,4B0FC0,,LUC12,IN ,PC12/L,SBDFGRY/LB1 ,LFMQ1500 ,N0272F250 MTL UM976 ETREK UN871 LTP UZ116 BELUS ,LSGG0105 LFLL ,"CODE/4B0FC0 DOF/240320 EET/LFFF0011 LFMM0043 LSAS0051 LFMM0054 LSAS0104 IFP/MODESASP OPR/ALBINATI AERONAUTICS ORGN/EKODFFLX PER/A REG/HBFZC RMK/LSGG 032016102A RVR/550 TALT/LFML)
",MARS,False,1738.0,4B0FC0,PC12
4360,F,1033,LFMN,EGLF,LWG10I   ,Z,GALX   ,Z  ,9H777MF  ,,240320,AA57037772,,,,,,,4D23AA,,LWG10I,IN ,GALX/M,SBDFGHIJ1J3J4J7RWXY/S ,LFMN1000 ,N0450F360 BADOD UZ12 BULOL UM733 IDAVO DCT BAGBI DCT SIZZA UM733 CLM/N0449F380 UM733 SUBIP M8 ELDAX ,EGLF0137 EGHI ,"DAT/CPDLCX DOF/240320 OPR/LUXWING ORGN/EKBICPUF REG/9H777MF RMK/+35677334470)
",NICE,,nan,nan,
4362,F,1400,LFJL,ELLX,LXAIM    ,Z,PA44   ,Z  ,         ,,240320,AA57072091,,,,,,,      ,,LXAIM,IG ,PA44/L,SBDFGRY/S ,LFJL1340 ,N0140F080 DIK DCT LUX ,ELLX0036 ,"DOF/240320 EET/EBBU0019 ORGN/EKODFFLX RMK/PIC TEL 00352621169451)
",STBG,False,1309.0,4D036D,PA44
4364,F,1030,LFJL,ELLX,LXAIO    ,Z,C172   ,Z  ,         ,,240320,AA57068122,,,,,,,4D0311,,LXAIO,IG ,C172/L,SY/S ,LFJL1030 ,N0120F060 DIK ,ELLX0035 EDDR LFJL ,"DOF/240320 IFP/MODESASP ORGN/EBBRZPZX)
",STBG,,nan,nan,
4366,F,1340,LFJL,ELLX,LXAIO    ,Z,C172   ,Z  ,AEROS    ,,240320,AA57071916,,,,,,,4D0311,,LXAIO,IG ,C172/L,BGLORY/S ,LFJL1340 ,N0119A040 DIK ,ELLX0039 LFJL ,"DOF/240320 EET/EBBU0019 IFP/MODESASP OPR/AEROSPORT LUXEMBOURG ORGN/EKODFFLX RMK/PIC TEL 352621364200)
",STBG,,nan,nan,
4369,F,1019,LFPB,LFRG,LXG2ES   ,Z,C25M   ,Z  ,DIXON    ,,240320,AA57067587,,,,,,,3E557D,,LXG2ES,IN ,C25M/L,SDGJ1M3P2RWY/LB2V2 ,LFPB0930 ,N0346F190 EVX N160 BERNO ,LFRG0032 LFPO ,"CODE/3E557D DOF/240320 EET/LFRR0028 LFFF0028 IFP/MODESASP OPR/LUXAVIATION GERMANY ORGN/EKODFFLX REG/DIXON RMK/OPS TEL 0040747122133 PIC TEL 33611127968 RVR/150 TALT/LFPO)
",CDG,False,1012.0,3E557D,C25M
4370,F,1116,LFRG,LFPB,LXG2ES   ,Z,C25M   ,Z  ,DIXON    ,,240320,AA57067598,,,,,,,3E557D,,LXG2ES,IN ,C25M/L,SDGJ1M3P2RWY/LB2V2 ,LFRG1020 ,N0345F190 LGL Z295 PEXIR ,LFPB0039 LFPO LFOK ,"CODE/3E557D DOF/240320 IFP/MODESASP OPR/LUXAVIATION GERMANY ORGN/EKODFFLX REG/DIXON RMK/OPS TEL 0040747122133 LFPB HDLG BY EXECUJET PIC TEL 33611127968 RVR/150)
",TAFF,False,1012.0,3E557D,C25M
4371,F,1349,LFPB,ELLX,LXG2ES   ,Z,C25M   ,Z  ,DIXON    ,,240320,AA57069085,,,,,,,3E557D,,LXG2ES,IG ,C25M/L,SDGJ1M3P2RWY/LB2V2 ,LFPB1230 ,N0345F190 DIKOL J10 SUIPE M163 MMD ,ELLX0040 EDFH ,"CODE/3E557D DOF/240320 EET/EBBU0030 IFP/MODESASP OPR/LUXAVIATION GERMANY ORGN/EKODFFLX REG/DIXON RMK/OPS TEL 0040747122133 ELLX PPR 61611 PIC TEL 33611127968 RVR/150 TALT/LFPO)
",CDG,False,1012.0,3E557D,C25M
4373,F,1515,LFMD,LFPN,LXSFB    ,Z,SF50   ,Z  ,LXSFB    ,,240320,AA57071472,,,,,,,4D02E8,,LXSFB,IG ,SF50/L,SBDGRYZ/LB1 ,LFMD1300 ,N0314F280 BADOD UZ12 BULOL UM733 IDAVO DCT ARDOL ,LFPN0121 LFPB ,"DAT/CPDLCX DOF/240320 EET/LFFF0010 IFP/MODESASP NAV/SBAS OPR/JFA ORGN/EKODFFLX REG/LXSFB RMK/CALLSIGN MOSQUITO 0035226091914 PIC TEL 33632555499 RVR/550)
",NICE,,nan,nan,
4375,F,1635,LFJL,ELLX,LXSKY    ,Z,PC12   ,Z  ,LUXEM    ,,240320,AA57043686,,,,,,,4D02F5,,LXSKY,IG ,PC12/L,SDFGIRY/LB2 ,LFJL1630 ,N0255F100 DIK ,ELLX0019 ,"DOF/240320 EET/EBBU0010 IFP/MODESASP OPR/LUXEMBIRD SARL ORGN/EKODFFLX RMK/PIC TEL 352621364200)
",STBG,,nan,nan,
4376,F,1645,LFQG,ELLX,LXWWW    ,Z,SR22   ,Z  ,XPRES    ,,240320,AA56988056,,,,,,,4D02F2,,LXWWW,IG ,SR22/L,SBGRY/SB1 ,LFQG1600 ,N0163F070 NEV A3 MOTAL/N0163F080 R11 OSKIN/N0165F080 T11 LUREN B373 TRO G40 VATRI/N0165F070 B3 DIKOL/N0163F070 J10 SUIPE/N0163F080 M163 MMD/N0165F080 ,ELLX0145 ,"DOF/240320 IFP/MODESASP OPR/XPRESSAIR ORGN/KSTPXAAP RMK/CREW CONTACT +352671200400 FILED VIA AUTOROUTER.AERO RVR/550)
",PARI,,nan,nan,
4378,F,918,LFPG,LBSF,LZB432   ,Z,BCS3   ,Z  ,LZLON    ,,240320,AA57050919,,,,,,,452122,,LZB432,IS ,BCS3/M,SBDGHIJ1LORVWY/SB1 ,LFPG0910 ,N0436F390 LANVI DCT BEGAR DCT TRA DCT GAMSA DCT GEDSO DCT GIMIX DCT ROLBA DCT LURID DCT SOMUN DCT VAL DCT NISVA ,LBSF0214 LBPD ,"CODE/452122 DOF/240320 EET/EDUU0032 LSAS0036 LOVV0044 EDUU0047 LOVV0047 LIMM0056 LOVV0057 LJLA0107 LDZO0118 LQSB0129 LYBA0140 LBSR0203 OPR/LZB ORGN/LBSFLZBP PER/C REG/LZLON RMK/OPS+359885301811 RVR/200)
",CDG,False,937.0,452122,BCS3
4388,F,1755,LFST,GMMW,MAC316   ,Z,A320   ,Z  ,CNNMP    ,,240320,AA57068913,,,,,,,020175,,MAC316,IS ,A320/M,SDFGHIJ1RWY/LB1V1 ,LFST1740 ,N0398F310 MIRGU DCT MOROK DCT GILIR/N0429F390 DCT GVA DCT INCUS DCT BALSI UN852 DIVKO UN975 BCN DCT RODRA DCT PEXOT DCT EBROX DCT LOTOS DCT TORDU DCT DIKUT DCT SOPET DCT VLC DCT BEGOX DCT NARGO DCT RESTU DCT DOSEK DCT AMR UM372 IXIRI M372 ARI DCT ,GMMW0233 GMFO ,"CODE/020175 COM/CPDLC DAT/VM DOF/240320 EET/LFFF0006 LSAS0023 LFFF0028 LECB0105 LECM0201 GMMM0223 OPR/MAC ORGN/EDDFABYX PER/C REG/CN
",STBG,,nan,nan,
